driverId,year,points,wins,age,normalized_points,races_in_season,points_per_race,normalized_points_per_race,age_group
20,2017,317.0,5,29.50034223134839,12.68,20,15.85,0.634,25–30
20,2018,320.0,5,30.49965776865161,12.8,21,15.238095238095237,0.6095238095238096,30–35
20,2019,240.0,1,31.49897330595483,9.6,21,11.428571428571429,0.45714285714285713,30–35
20,2020,33.0,0,32.498288843258045,1.32,17,1.9411764705882353,0.07764705882352942,30–35
20,2021,43.0,0,33.50034223134839,1.72,22,1.9545454545454546,0.07818181818181819,30–35
20,2022,37.0,0,34.49965776865161,1.48,22,1.6818181818181819,0.06727272727272728,30–35
21,1996,0.0,0,22.962354551676935,0.0,16,0.0,0.0,<25
21,1997,20.0,0,23.964407939767284,2.0,17,1.1764705882352942,0.11764705882352941,<25
21,1998,16.0,0,24.9637234770705,1.6,16,1.0,0.1,<25
21,1999,13.0,0,25.963039014373717,1.3,16,0.8125,0.08125,25–30
21,2000,18.0,0,26.962354551676935,1.8,17,1.0588235294117647,0.10588235294117647,25–30
21,2001,8.0,0,27.964407939767284,0.8,17,0.47058823529411764,0.047058823529411764,25–30
21,2002,7.0,0,28.9637234770705,0.7,17,0.4117647058823529,0.041176470588235294,25–30
21,2003,12.0,1,29.963039014373717,1.2,16,0.75,0.075,25–30
21,2004,22.0,0,30.96235455167694,2.2,18,1.2222222222222223,0.12222222222222223,30–35
21,2005,58.0,1,31.964407939767284,5.8,19,3.0526315789473686,0.30526315789473685,30–35
21,2006,72.0,1,32.9637234770705,7.2,18,4.0,0.4,30–35
21,2007,21.0,0,33.96303901437371,2.1,17,1.2352941176470589,0.12352941176470589,30–35
21,2008,0.0,0,34.96235455167693,0.0,18,0.0,0.0,30–35
21,2009,8.0,0,35.964407939767284,0.8,17,0.47058823529411764,0.047058823529411764,35–40
22,1993,2.0,0,20.61054072553046,0.2,16,0.125,0.0125,<25
22,1994,19.0,0,21.609856262833677,1.9,16,1.1875,0.11875,<25
22,1995,11.0,0,22.60917180013689,1.1,17,0.6470588235294118,0.06470588235294118,<25
22,1996,14.0,0,23.60848733744011,1.4,16,0.875,0.0875,<25
22,1997,6.0,0,24.61054072553046,0.6,17,0.35294117647058826,0.03529411764705882,<25
22,1998,4.0,0,25.609856262833677,0.4,16,0.25,0.025,25–30
22,1999,21.0,0,26.60917180013689,2.1,16,1.3125,0.13125,25–30
22,2000,62.0,1,27.60848733744011,6.2,17,3.6470588235294117,0.3647058823529412,25–30
22,2001,56.0,0,28.61054072553046,5.6,17,3.2941176470588234,0.32941176470588235,25–30
22,2002,77.0,4,29.609856262833677,7.7,17,4.529411764705882,0.45294117647058824,25–30
22,2003,65.0,2,30.60917180013689,6.5,16,4.0625,0.40625,30–35
22,2004,114.0,2,31.60848733744011,11.4,18,6.333333333333333,0.6333333333333333,30–35
22,2005,38.0,0,32.610540725530456,3.8,19,2.0,0.19999999999999998,30–35
22,2006,30.0,0,33.609856262833674,3.0,18,1.6666666666666667,0.16666666666666666,30–35
22,2007,0.0,0,34.60917180013689,0.0,17,0.0,0.0,30–35
22,2008,11.0,0,35.60848733744011,1.1,18,0.6111111111111112,0.061111111111111116,35–40
22,2009,77.0,2,36.610540725530456,7.7,17,4.529411764705882,0.45294117647058824,35–40
22,2010,47.0,0,37.609856262833674,1.88,19,2.473684210526316,0.09894736842105263,35–40
22,2011,4.0,0,38.60917180013689,0.16,19,0.21052631578947367,0.008421052631578947,35–40
23,1997,13.0,0,21.508555783709788,1.3,17,0.7647058823529411,0.07647058823529412,<25
23,1998,14.0,0,22.507871321013006,1.4,16,0.875,0.0875,<25
23,1999,35.0,0,23.50718685831622,3.5,16,2.1875,0.21875,<25
23,2000,24.0,0,24.50650239561944,2.4,17,1.411764705882353,0.1411764705882353,<25
23,2001,49.0,3,25.508555783709788,4.9,17,2.8823529411764706,0.2882352941176471,25–30
23,2002,42.0,1,26.507871321013006,4.2,17,2.4705882352941178,0.24705882352941178,25–30
23,2003,58.0,2,27.50718685831622,5.8,16,3.625,0.3625,25–30
23,2004,24.0,0,28.50650239561944,2.4,18,1.3333333333333333,0.13333333333333333,25–30
23,2005,45.0,0,29.508555783709784,4.5,19,2.3684210526315788,0.23684210526315788,25–30
23,2006,20.0,0,30.507871321013006,2.0,18,1.1111111111111112,0.1111111111111111,30–35
23,2007,5.0,0,31.507186858316217,0.5,17,0.29411764705882354,0.029411764705882353,30–35
24,2005,1.0,0,24.40520191649555,0.1,19,0.05263157894736842,0.005263157894736842,<25
24,2006,1.0,0,25.404517453798768,0.1,18,0.05555555555555555,0.005555555555555556,25–30
24,2007,3.0,0,26.403832991101986,0.3,17,0.17647058823529413,0.01764705882352941,25–30
24,2009,0.0,0,28.40520191649555,0.0,17,0.0,0.0,25–30
